job_role,job_level,location,actual_base,actual_start_date,time_to_fill,currency,base_low,base_mid,base_high
Technical Account Manager,IC5,,219420.0,08-18-2025,108.0,,,,
Software Engineering,IC4,,290600.0,04-28-2025,7.0,,,,
Software Engineering,IC3,,160000.0,10-01-2025,47.0,,,,
Field Engineering,IC4,,110138.3,08-04-2025,88.0,,,,
Product Design,IC4,,250000.0,10-20-2025,183.0,,,,
Software Engineering,IC4,,200000.0,06-22-2026,126.0,,,,
Customer Success Management,IC3,,243712.05,04-07-2025,32.0,,,,
Revenue Operations,IC3,,126000.0,01-05-2026,51.0,,,,
Security Engineering,IC4,,169000.0,08-04-2025,140.0,,,,
Sales Development,IC3,,60000.0,09-01-2025,98.0,,,,
Software Engineering,IC3,,185000.0,02-02-2026,262.0,,,,
Customer Success Management,IC3,,126000.0,04-14-2025,29.0,,,,
Account Executives,IC3,,132000.0,06-02-2025,0.0,,,,
Software Engineering,IC4,,190000.0,04-14-2025,13.0,,,,
Developer Success Engineer,M3,,200000.0,09-02-2025,22.0,,,,
Developer Success Engineer,IC3,,,11-03-2025,5.0,,,,
Product Partnerships Development,IC4,,180000.0,02-02-2026,135.0,,,,
Software Engineering,IC4,,162000.0,11-10-2025,10.0,,,,
Account Executives,M6,,260642.86,08-04-2025,5.0,,,,
Developer Experience,IC5,,250000.0,12-15-2025,207.0,,,,
Developer Experience,IC4,,200000.0,10-20-2025,68.0,,,,
Developer Experience,IC4,,1800883.0,03-02-2026,249.0,,,,
Product Design,IC4,,201167.65,06-02-2025,0.0,,,,
Field Engineering,IC4,,155475.68,03-31-2025,16.0,,,,
Software Engineering,M5,,360000.0,09-22-2025,80.0,,,,
Customer Success Management,IC4,,108104.35,04-14-2025,35.0,,,,
Recruiting,IC2,,105000.0,03-21-2025,2.0,,,,
Account Executives,IC3,,126000.0,03-21-2025,23.0,,,,
Recruiting,IC5,,234000.0,11-03-2025,1.0,,,,
Technical Account Manager,IC4,,204000.0,05-27-2025,72.0,,,,
Sales Development,IC2,,66000.0,03-31-2025,14.0,,,,
Technical Account Manager,IC4,,163983.97,07-07-2025,15.0,,,,
Account Executives,IC3,,114351.21,09-01-2025,0.0,,,,
Technical Account Manager,IC3,,140235.74,06-16-2025,29.0,,,,
FP&A,M6,,330000.0,12-01-2025,240.0,,,,
Software Engineering,IC3,,175000.0,09-29-2025,18.0,,,,
Software Engineering,IC4,,35306980.0,06-30-2025,89.0,,,,
Product Marketing,IC4,,350000.0,06-16-2025,22.0,,,,
Revenue Marketing,M6,,325000.0,01-12-2026,313.0,,,,
Data Analyst,IC4,,256820.0,03-31-2025,26.0,,,,
Recruiting,M5,,235000.0,02-02-2026,53.0,,,,
Counsel,M5,,360000.0,06-16-2025,39.0,,,,
Software Engineering,IC4,North America - USA - A,240000.0,06-08-2026,455.0,,,,
Software Engineering,IC4,,280570.0,06-30-2025,16.0,,,,
Partner Solutions Engineering,IC4,,125775.0,09-01-2025,166.0,,,,
Account Executives,IC3,,105305.1,05-12-2025,50.0,,,,
Software Engineering,IC4,,192720.0,05-26-2025,2.0,,,,
Software Engineering,IC4,,282200.0,04-28-2025,10.0,,,,
Software Engineering,IC2,,230776.0,05-12-2025,8.0,,,,
Customer Success Management,IC3,,127470.0,06-16-2025,64.0,,,,
Product Management,M6,,500000.0,06-09-2025,60.0,,,,
Analytics Engineer,IC4,,204370.0,03-19-2025,3.0,,,,
Software Engineering,IC4,,290000.0,12-08-2025,153.0,,,,
Account Executives,IC4,,155250.0,11-17-2025,60.0,,,,
Product Design,M4,,300165.52,08-25-2025,71.0,,,,
Software Engineering,IC4,,294090.0,08-04-2025,140.0,,,,
Technical Account Manager,IC4,,180594.15,03-21-2025,11.0,,,,
Product Management,M5,,288400.0,09-08-2025,0.0,,,,
Software Engineering,IC2,,235000.0,05-26-2025,21.0,,,,
Account Executives,IC4,,145200.0,03-24-2025,14.0,,,,
Software Engineering,IC4,,238280.0,03-17-2025,3.0,,,,
Counsel,IC4,,25000.0,09-08-2025,46.0,,,,
Technical Account Manager,IC4,,174000.0,03-17-2025,12.0,,,,
Developer Success Engineer,IC4,,142000.0,09-02-2025,2.0,,,,
Software Engineering,IC4,,245700.0,06-30-2025,101.0,,,,
Partner Management,IC5,North America - USA - A,245000.0,06-08-2026,390.0,,,,
Accounting,IC4,,185000.0,11-17-2025,220.0,,,,
Account Executives,IC2,,105000.0,06-16-2025,0.0,,,,
Software Engineering,IC4,,279310.0,08-18-2025,116.0,,,,
FP&A,IC3,,200000.0,10-06-2025,126.0,,,,
Accounting,M5,,290000.0,09-29-2025,196.0,,,,
Software Engineering,IC4,,1161226.08,05-12-2025,44.0,,,,
Technical Account Manager,IC4,,138000.0,07-07-2025,70.0,,,,
Product Management,IC3,,195000.0,10-20-2025,86.0,,,,
Compensation,M6,North America - USA - A,,07-20-2026,351.0,,,,
Account Executives,IC4,,163125.0,08-04-2025,128.0,,,,
Product Design,IC4,,120000.0,11-03-2025,75.0,,,,
Field Engineering,IC4,,162538.18,08-18-2025,150.0,,,,
Customer Success Management,IC3,,125000.0,06-02-2025,0.0,,,,
Software Engineering,IC5,,311900.0,06-09-2025,4.0,,,,
Revenue Operations,IC4,North America - USA - A,,06-15-2026,0.0,,,,
Software Engineering,IC4,North America - USA - A,,07-06-2026,443.0,,,,
Software Engineering,M3,North America - USA - A,300000.0,04-27-2026,7.0,,,,
Facilities,M4,,265000.0,06-30-2025,34.0,,,,
Revenue Marketing,M6,,365000.0,08-11-2025,1.0,,,,
HRBPs,IC4,,258880.0,03-21-2025,19.0,,,,
Recruiting,IC4,,221150.0,04-21-2025,0.0,,,,
Software Engineering,IC4,,200000.0,03-17-2025,8.0,,,,
Product Management,IC4,North America - USA - A,350000.0,05-26-2026,256.0,,,,
Software Engineering,IC3,,210000.0,11-10-2025,0.0,,,,
Software Engineering,IC4,,280000.0,08-25-2025,158.0,,,,
Sales Ops Systems,M4,,235000.0,06-09-2025,88.0,,,,
Security Engineering,IC4,North America - USA - A,255000.0,05-18-2026,315.0,USD,208000.0,260000.0,312000.0
Content Marketing,IC4,,212000.0,05-12-2025,49.0,,,,
Software Engineering,IC4,,225500.0,06-30-2025,25.0,,,,
Customer Success Management,IC4,,14989880.0,06-02-2025,0.0,,,,
Content Marketing,IC4,,250000.0,10-06-2025,200.0,,,,
Content Marketing,IC3,North America - USA - A,205000.0,05-11-2026,330.0,,,,
Customer Success Management,IC4,,115000.0,03-10-2025,9.0,,,,
Revenue Marketing,IC4,,120000.0,11-10-2025,107.0,,,,
Partner Management,IC4,,90000.0,09-29-2025,94.0,,,,
Customer Success Management,IC4,,74962.5,06-16-2025,35.0,,,,
Security Engineering,IC4,,249999.96,08-25-2025,158.0,,,,
Product Design,IC4,,220000.0,06-02-2025,54.0,,,,
Executive Assistant,IC4,,206270.0,04-21-2025,1.0,,,,
People Operations,IC5,,366000.0,04-28-2025,1.0,,,,
Software Engineering,M5,,400410.0,05-12-2025,1.0,,,,
Recruiting,IC4,,195650.0,02-16-2025,,,,,
Sales Development,IC2,,77265.0,03-31-2025,6.0,,,,
account executives Major,IC4,,189000.0,02-23-2026,0.0,,,,
Counsel,M6,,352000.0,07-28-2025,99.0,,,,
Software Engineering,M4,,335080.0,07-21-2025,31.0,,,,
Software Engineering,IC4,,231900.0,04-14-2025,1.0,,,,
Account Executives,IC4,,122320.0,09-01-2025,0.0,,,,
Data Analyst,IC3,,225000.0,09-29-2025,74.0,,,,
Software Engineering,IC4,,230010.0,06-16-2025,1.0,,,,
Revenue Operations,IC4,,194000.0,09-29-2025,33.0,,,,
Developer Experience,IC4,,230258.1,08-04-2025,3.0,,,,
Account Executives,IC3,,113708.48,08-01-2025,71.0,,,,
Recruiting,IC2,,138600.0,05-05-2025,23.0,,,,
Field Engineering,IC4,,210700.0,07-07-2025,2.0,,,,
Content Marketing,IC5,,275000.0,10-14-2025,38.0,,,,
Product Design,IC4,,260000.0,01-21-2025,,,,,
Account Executives,M5,,300000.0,07-14-2025,15.0,,,,
Software Engineering,IC4,,225000.0,08-25-2025,162.0,,,,
Product Design,IC4,,200706.85,03-21-2025,6.0,,,,
Recruiting,IC2,,140000.0,03-21-2025,2.0,,,,
Software Engineering,IC4,,280000.0,12-01-2025,18.0,,,,
Developer Experience,IC4,,148000.0,10-06-2025,1.0,,,,
Sales Ops Systems,M5,,280000.0,04-14-2025,10.0,,,,
FP&A,IC4,,220000.0,07-07-2025,45.0,,,,
Product Design,IC4,,270000.0,09-02-2025,87.0,,,,
account executives Major,IC4,,264000.0,03-02-2026,4.0,,,,
Product Design,IC3,,105000.0,10-06-2025,67.0,,,,
Software Engineering,IC4,,241230.0,07-21-2025,109.0,,,,
Product Partnerships Development,E1,,335000.0,07-07-2025,12.0,,,,
Revenue Marketing,IC4,,155000.0,10-27-2025,230.0,,,,
Software Engineering,M5,,315890.0,07-21-2025,24.0,,,,
Customer Success Management,IC4,,850000.0,03-10-2025,2.0,,,,
Account Executives,IC3,,161980.0,07-21-2025,49.0,,,,
Account Executives,IC4,,164014.29,06-30-2025,92.0,,,,
Design Engineering,IC4,,260000.0,01-21-2025,,,,,
Design Engineering,IC4,,232312.5,03-10-2025,11.0,,,,
Developer Success Engineer,M5,,285000.0,03-10-2025,0.0,,,,
Software Engineering,M4,,365908.66,02-18-2025,0.0,,,,
Account Executives,IC3,,115000.0,03-10-2025,1.0,,,,
Customer Success Management,M5,,176800.0,03-10-2025,1.0,,,,
Sales Development,IC3,,62500.0,03-10-2025,1.0,,,,
Field Engineering,IC4,,118993.33,04-01-2025,1.0,,,,
account executives Strategic,E1,,560000.0,03-03-2025,0.0,,,,
Business Operations,IC4,,192090.0,03-10-2025,0.0,,,,
Field Engineering,IC4,,233500.0,03-03-2025,0.0,,,,
Recruiting,M5,,324140.0,03-17-2025,0.0,,,,
Security Engineering,IC4,,280000.0,10-20-2025,234.0,,,,
Revenue Operations,IC3,,165000.0,03-21-2025,22.0,,,,
Software Engineering,,,153590.0,05-27-2025,78.0,,,,
Product Management,IC4,,300000.0,02-12-2025,0.0,,,,
Revenue Operations,IC4,,202619.84,02-10-2025,0.0,,,,
Recruiting,M5,,300000.0,03-17-2025,1.0,,,,
Technical Account Manager,IC5,,258259.88,04-21-2025,55.0,,,,
Product Design,IC4,,239611.8,02-18-2025,1.0,,,,
Account Executives,IC4,,115625.0,02-03-2025,0.0,,,,
Accounting,IC4,,103000.0,06-16-2025,15.0,,,,
Sales Development,IC2,,70474.74,02-18-2025,1.0,,,,
Product Management,IC4,,306490.0,03-17-2025,29.0,,,,
Customer Success Management,IC3,,96000.0,04-28-2025,67.0,,,,
Customer Success Management,IC3,,176134.46,02-18-2025,0.0,,,,
Revenue Operations,IC3,,142670.0,02-18-2025,0.0,,,,
FP&A,IC4,,250000.0,04-28-2025,50.0,,,,
Data Analyst,IC4,,230000.0,02-24-2025,1.0,,,,
Trust & Safety,IC4,,210000.0,03-03-2025,0.0,,,,
Customer Success Management,IC2,,80000.0,02-03-2025,2.0,,,,
Marketing Operations,IC4,,185000.0,06-30-2025,33.0,,,,
Field Engineering,M3,,219161.24,01-05-2025,0.0,,,,
Software Engineering,IC4,,255200.0,03-03-2025,0.0,,,,
Partner Management,IC4,,128766.05,05-01-2025,0.0,,,,
Sales Development,IC2,,67260.0,02-18-2025,1.0,,,,
Product Partnerships Development,IC5,North America - USA - A,260000.0,04-06-2026,203.0,,,,
Content Marketing,IC4,,171009.86,02-18-2025,2.0,,,,
Software Engineering,IC4,,136085.3,02-03-2025,0.0,,,,
Software Engineering,IC4,,256704.55,01-27-2025,0.0,,,,
Product Design,IC3,,241799.0,02-03-2025,0.0,,,,
Developer Experience,M5,,300000.0,03-03-2025,22.0,,,,
Forward Deployed Engineer,IC4,,190000.0,05-01-2025,68.0,,,,
Customer Success Management,IC4,,156000.0,05-27-2025,83.0,,,,
Product Management,IC5,,300000.0,03-17-2025,26.0,,,,
Developer Experience,IC4,,197601.0,06-02-2025,1.0,,,,
HRBPs,IC4,,201400.0,03-03-2025,0.0,,,,
Account Executives,IC2,,110000.0,02-18-2025,0.0,,,,
Recruiting,IC5,,260000.0,10-06-2025,7.0,,,,
Customer Success Management,IC4,,92940.0,04-28-2025,85.0,,,,
Product Management,IC3,,174868.57,01-21-2025,2.0,,,,
Revenue Marketing,IC4,,216329.6,05-27-2025,100.0,,,,
Recruiting,IC3,,272889.58,04-14-2025,43.0,,,,
Accounting,M5,,228000.0,03-03-2025,1.0,,,,
Sales Development,IC2,,76925.0,02-03-2025,0.0,,,,
Recruiting,IC4,,215320.0,04-21-2025,1.0,,,,
FP&A,M5,,300000.0,01-06-2025,0.0,,,,
Revenue Marketing,M5,,240000.0,01-06-2025,0.0,,,,
Developer Experience,M4,,275000.0,12-16-2024,0.0,,,,
Information Technology,IC4,,141559.0,12-16-2024,0.0,,,,
Customer Success Management,M5,,220000.0,12-16-2024,0.0,,,,
Product Marketing,IC4,,220000.0,12-16-2024,0.0,,,,
Field Engineering,IC4,,165720.03,12-16-2024,0.0,,,,
Software Engineering,IC4,,164426.82,01-06-2025,0.0,,,,
Software Engineering,IC4,,230443.59,01-06-2025,0.0,,,,
Software Engineering,IC4,,245000.0,01-13-2025,0.0,,,,
Product Management,IC3,,310000.0,01-06-2025,0.0,,,,
Account Executives,IC3,,121590.54,01-06-2025,0.0,,,,
Revenue Marketing,M5,,270000.0,01-06-2025,0.0,,,,
FP&A,M5,,361468.49,01-06-2025,0.0,,,,
Counsel,M6,,185789.33,01-21-2025,0.0,,,,
Executive Assistant,IC4,,326000.0,01-13-2025,0.0,,,,
Accounting,IC3,,161000.0,01-21-2025,0.0,,,,
Technical Account Manager,IC3,,184716.33,01-06-2025,0.0,,,,
Technical Program/Project Management,IC4,,240000.0,01-06-2025,0.0,,,,
Trust & Safety,IC4,,202985.72,01-06-2025,0.0,,,,
Software Engineering,IC4,,229218.33,01-27-2025,0.0,,,,
Accounting,IC4,,110000.0,01-13-2025,0.0,,,,
Software Engineering,IC4,,344425.9,01-13-2025,0.0,,,,
Recruiting,IC4,,166555.56,01-06-2025,0.0,,,,
Recruiting,IC4,,225000.0,01-13-2025,0.0,,,,
Field Engineering,IC3,,204511.22,12-16-2024,0.0,,,,
Field Engineering,IC4,,227126.71,02-03-2025,0.0,,,,
Data Analyst,E1,,400000.0,01-06-2025,0.0,,,,
Account Executives,IC3,,127650.0,01-06-2025,0.0,,,,
Partner Management,M5,,234500.0,01-31-2025,0.0,,,,
Partner Management,IC4,,117430.76,01-31-2025,0.0,,,,
Account Executives,IC3,,100000.0,01-06-2025,0.0,,,,
Field Engineering,IC3,,102302.67,04-01-2025,0.0,,,,
