"job_role","job_level","location","actual_base","actual_start_date","time_to_fill","base_low","base_mid","base_high","currency"
"Systems & Enablement (IC)","IC4","North America",216720,"2025-01-07",80,120800,151000,181200,"USD"
"AE Mid-market","IC3","North America",107772.38,"2025-03-01",31,69400,86750,104100,"USD"
,"IC5","North America",205000,"2024-12-17",84,,,,"USD"
"Software Engineer (IC)","IC5","North America",229350,"2025-06-10",3,200400,250500,300600,"USD"
"Systems & Enablement (IC)","IC4","North America",182437,"2024-12-03",64,120800,151000,181200,"USD"
,"IC5","North America",200000,"2024-12-10",68,,,,"USD"
"Sales Ops","IC4","North America",160000,"2024-10-29",10,108500,155000,186000,"USD"
"Solutions Architect (IC)","IC5","North America",185000,"2025-02-19",49,152600,218000,261600,"USD"
"Revenue Ops (IC)","IC2","North America",99360,"2024-10-01",8,80000,100000,120000,"USD"
,"IC6","Australia",324000,"2025-02-01",,,,,"AUD"
"Deal Desk (M)","M6","North America",263125,"2025-03-18",93,164500,235000,282000,"USD"
"Customer Success Manager (IC)","IC5","North America",155000,"2025-01-07",48,160000,200000,240000,"USD"
,"IC4","North America",175950,"2024-12-10",16,,,,"USD"
,"IC5","North America",181125,"2024-12-10",52,,,,"USD"
"Campaign Manager (M)","M5","North America",210000,"2025-05-20",78,153600,192000,230400,"USD"
"Deal Desk (IC)","IC4","Europe",105000,"2024-12-17",62,74200,106000,127200,"EUR"
"Customer Success Manager (IC)","IC5","Europe",567000,"2025-02-04",69,113600,142000,170400,"EUR"
"Sales Ops","IC4","Europe",105000,"2025-01-07",71,77000,110000,132000,"EUR"
"People (IC)","IC4","North America",198000,"2025-07-01",,132650,189500,227400,"USD"
"Customer Success Manager Scale (IC)","IC4","North America",100000,"2024-09-01",,104000,130000,156000,"USD"
,"IC4","North America",187775,"2024-11-12",37,,,,"USD"
,"IC7","North America",300000,"2024-12-10",66,,,,"USD"
"Accounting (IC)","IC3","North America",180000,"2025-01-22",100,90300,129000,154800,"USD"
,"IC2","North America",167890,"2024-09-24",19,,,,"USD"
"AE Enterprise","IC3","North America",150000,"2025-01-07",106,77600,97000,116400,"USD"
"Sales (M)","M6","North America",168000,"2025-02-01",0,157108,196386,235663,"USD"
,"IC4","North America",170000,"2024-11-05",38,,,,"USD"
,"IC5","North America",220000,"2024-09-24",19,,,,"USD"
,,"North America",355000,"2024-12-17",154,,,,"USD"
,,"North America",137500,"2024-09-24",60,,,,"USD"
"Finance (IC)","IC4","North America",190000,"2024-08-20",30,124250,177500,213000,"USD"
"Software Engineer (IC)","IC4","North America",254222,"2024-07-23",2,168000,210000,252000,"USD"
"Customer Success Manager (IC)","IC5","Europe",137693.41,"2024-09-24",47,113600,142000,170400,"EUR"
"Customer Success Manager (IC)","IC5","Europe",145000,"2024-09-10",65,113600,142000,170400,"EUR"
"Data Analyst (IC)","IC3","North America",185000,"2024-08-20",34,123200,154000,184800,"USD"
"AE Enterprise","IC4","North America",150000,"2024-08-27",10,96000,120000,144000,"USD"
"Customer Success Manager (IC)","IC5","Japan",19482515.76,"2024-08-27",30,11730320,14662900,17595480,"JPY"
,"M6","North America",265200,"2024-07-09",10,,,,"USD"
"People (IC)","IC3","North America",130810,"2024-11-19",129,102900,147000,176400,"USD"
"AE Velocity","IC2","North America",82500,"2024-07-23",4,44800,56000,67200,"USD"
"Systems & Enablement (M)","M6","North America",275000,"2024-07-30",0,170400,213000,255600,"USD"
"AE Enterprise","IC4","North America",162000,"2024-07-16",0,96000,120000,144000,"USD"
"Growth & Renewals (IC)","IC3","North America",111000,"2024-09-04",51,84337,105422,126506,"USD"
"AE Enterprise","IC4","North America",150000,"2024-06-18",0,96000,120000,144000,"USD"
"Sales Enablement (M)","M5","North America",200000,"2024-06-18",19,134400,192000,230400,"USD"
"AE Velocity","IC2","North America",65000,"2024-06-11",1,44800,56000,67200,"USD"
"AE Enterprise","IC4","North America",150000,"2024-09-10",52,96000,120000,144000,"USD"
"AE Strategic","IC6","North America",180250,"2025-02-04",240,132800,166000,199200,"USD"
"Channel Sales (IC)","IC5","Europe",898853.76,"2024-07-23",39,98313,122892,147470,"EUR"
"Systems & Enablement (IC)","IC4","North America",150000,"2024-07-30",15,120800,151000,181200,"USD"
"Deal Desk (IC)","IC3","North America",158100,"2024-07-09",52,92800,116000,139200,"USD"
"Sales (M)","M6","North America",200000,"2024-06-18",46,157108,196386,235663,"USD"
"Manager, Channel Sales","M4","North America",126000,"2024-10-22",159,,,,"USD"
"Business Development Representative","IC1","North America",726141.32,"2024-06-01",47,39776,49720,59664,"USD"
"Business Development Representative","IC1","North America",79200,"2024-06-04",0,39776,49720,59664,"USD"
"Support (IC)","IC4","Europe",105000,"2024-09-17",94,66500,95000,114000,"EUR"
"Sales (M)","M6","North America",228000,"2024-04-16",,157108,196386,235663,"USD"
"Sales (M)","M5","North America",160000,"2024-05-01",10,138795,173494,208193,"USD"
"Systems & Enablement (IC)","IC5","North America",229500,"2024-07-23",50,136800,171000,205200,"USD"
"Data Engineering (IC)","IC4","North America",206000,"2024-09-24",88,172000,215000,258000,"USD"
"AE Enterprise","IC4","Australia",187500,"2024-04-30",4,130400,163000,195600,"AUD"
"Technical Program Manager Eng (IC)","IC4","Europe",115000,"2024-06-18",58,100000,125000,150000,"EUR"
"AE Enterprise","IC4","Australia",252000,"2024-05-29",1,130400,163000,195600,"AUD"
"Systems & Enablement (M)","M5","North America",232875,"2024-06-11",53,140000,175000,210000,"USD"
"Ops Assistant (IC)","IC3","North America",60000,"2024-10-15",54,72800,104000,124800,"USD"
"Revenue Ops (M)","M7","North America",300000,"2024-06-18",68,205600,257000,308400,"USD"
"Sales Enablement (IC)","IC4","North America",206000,"2024-10-15",26,120400,172000,206400,"USD"
"AE Mid-market","IC3","Europe",167400,"2024-04-30",39,72000,90000,108000,"EUR"
"Solutions Engineering (IC)","IC4","North America",200850,"2024-05-14",71,0,195000,0,"USD"
"Sales (M)","M6","North America",200000,"2024-05-07",59,157108,196386,235663,"USD"
"AE Velocity","IC3","North America",89100,"2024-06-18",0,61200,76500,91800,"USD"
"Sales (M)","M5","North America",160000,"2024-04-02",5,138795,173494,208193,"USD"
"AE Strategic","IC5","Europe",184680,"2024-08-06",131,111200,139000,166800,"EUR"
"AE Velocity","IC3","North America",102000,"2024-05-14",73,61200,76500,91800,"USD"
"AE Enterprise","IC5","North America",155000,"2024-10-08",200,112400,140500,168600,"USD"
"Sales Enablement (IC)","IC4","North America",200000,"2024-05-07",60,120400,172000,206400,"USD"
"AE Enterprise","IC5","North America",150000,"2024-06-25",0,112400,140500,168600,"USD"
"AE Velocity","IC3","North America",76500,"2024-05-14",60,61200,76500,91800,"USD"
"AE Enterprise","IC5","Europe",252000,"2024-07-09",66,92800,116000,139200,"EUR"
"AE Velocity","IC3","North America",82500,"2024-05-14",0,61200,76500,91800,"USD"
"Channel Sales (IC)","IC5","North America",240000,"2024-07-30",48,129639,162048,194458,"USD"
"Solutions Engineering (IC)","IC4","Europe",14407200,"2024-08-06",124,0,129750,0,"EUR"
"AE Velocity","IC3","Europe",3000000,"2024-05-07",38,55600,69500,83400,"EUR"
"AE Velocity","IC3","Australia",128500,"2024-05-07",60,83200,104000,124800,"AUD"
"Solutions Engineering (IC)","IC4","North America",195000,"2024-05-17",77,0,195000,0,"USD"
"AE Velocity","IC3","North America",93000,"2024-04-01",42,61200,76500,91800,"USD"
"Sales (M)","M6","North America",200000,"2024-05-07",37,157108,196386,235663,"USD"
"AE Velocity","IC3","North America",96000,"2025-12-09",0,61200,76500,91800,"USD"
"Sales (M)","M5","Europe",294000,"2024-03-19",14,94458,118072,141687,"EUR"
"AE Mid-market","IC3","Europe",100800,"2024-05-07",39,72000,90000,108000,"EUR"
"AE Enterprise","IC5","North America",150000,"2024-06-18",77,112400,140500,168600,"USD"
"Solutions Engineering (IC)","IC4","Europe",146250,"2024-08-13",161,0,129750,0,"EUR"
"AE Enterprise","IC5","North America",150000,"2024-04-30",62,112400,140500,168600,"USD"
"Sales (M)","M6","North America",257500,"2024-06-04",87,157108,196386,235663,"USD"
"Solutions Engineering (IC)","IC4","North America",210375,"2024-08-06",141,0,195000,0,"USD"
"AE Enterprise","IC5","Europe",138500,"2024-07-09",84,92800,116000,139200,"EUR"
"AE Velocity","IC3","North America",65000,"2024-05-14",60,61200,76500,91800,"USD"
"AE Strategic","IC5","Europe",225000,"2024-04-01",0,111200,139000,166800,"EUR"
"AE Velocity","IC3","North America",100000,"2024-03-01",35,61200,76500,91800,"USD"
"AE Velocity","IC3","North America",70200,"2025-04-01",61,61200,76500,91800,"USD"
"Solutions Engineering (IC)","IC4","North America",220800,"2024-05-07",65,0,195000,0,"USD"
"AE Enterprise","IC5","North America",160000,"2024-02-27",2,112400,140500,168600,"USD"
"AE Mid-market","IC3","North America",108500,"2024-03-19",15,69400,86750,104100,"USD"
"AE Velocity","IC3","Europe",70200,"2024-04-01",34,55600,69500,83400,"EUR"
"Solutions Engineering (IC)","IC4","North America",216686,"2024-04-30",59,0,195000,0,"USD"
"Solutions Engineering (IC)","IC4","North America",195000,"2024-04-16",22,0,195000,0,"USD"
"AE Enterprise","IC5","North America",150000,"2024-04-16",3,112400,140500,168600,"USD"
"Sales (M)","M6","Australia",336000,"2024-04-30",51,,,,"AUD"
"AE Velocity","IC3","North America",82500,"2024-04-30",52,61200,76500,91800,"USD"
"Finance (M)","M5","North America",224700,"2024-07-23",116,150850,215500,258600,"USD"
"Data Engineering (M)","M5","North America",205000,"2024-06-04",74,150500,215000,258000,"USD"
"Product Marketing (IC)","IC5","North America",201000,"2024-07-30",113,148000,185000,222000,"USD"
"Marketing (IC)","IC4","North America",135000,"2024-04-16",37,124800,156000,187200,"USD"
"Marketing (M)","M6","North America",230000,"2024-05-14",59,154700,221000,265200,"USD"
"Marketing (IC)","IC3","North America",144200,"2024-04-30",38,100800,126000,151200,"USD"
"Product Marketing (IC)","IC5","North America",201000,"2024-05-29",51,148000,185000,222000,"USD"
"Product Marketing (IC)","IC5","North America",201000,"2024-05-21",63,148000,185000,222000,"USD"
"Customer Success Manager Scale (IC)","IC4","North America",135000,"2024-09-04",58,104000,130000,156000,"USD"
"Sustaining Engineer (IC)","IC3","North America",134160,"2024-09-01",56,109200,156000,187200,"USD"
"Support (IC)","IC4","North America",161460,"2024-06-25",45,94500,135000,162000,"USD"
"Legal (IC)","IC4","North America",226800,"2024-04-02",15,151900,217000,260400,"USD"
"Payroll (IC)","IC4","North America",128000,"2024-06-04",48,105000,150000,180000,"USD"
"People (IC)","IC5","North America",198000,"2024-04-23",51,143150,204500,245400,"USD"
"Solutions Engineering (IC)","IC3","North America",266509.06,"2024-04-16",14,0,172125,0,"USD"
"AE Strategic","IC5","North America",167510,"2024-07-16",137,122400,153000,183600,"USD"
"AE Enterprise","IC5","North America",150000,"2024-02-27",6,112400,140500,168600,"USD"
"Solutions Engineering (M)","M5","North America",225000,"2024-02-27",5,0,220500,0,"USD"
"Customer Success Manager Scale (IC)","IC4","North America",150000,"2024-03-05",7,104000,130000,156000,"USD"
"AE Strategic","IC5","North America",175000,"2024-07-30",139,122400,153000,183600,"USD"
"Sales (M)","M6","North America",200000,"2024-04-16",36,157108,196386,235663,"USD"
"AE Strategic","IC4","North America",165000,"2024-04-16",52,112400,140500,168600,"USD"
"Engineering (M)","M7","North America",500000,"2024-04-02",56,268800,336000,403200,"USD"
"AE Velocity","IC2","North America",82500,"2024-05-14",86,44800,56000,67200,"USD"
"Product Manager (IC)","IC5","North America",250000,"2024-05-14",77,193600,242000,290400,"USD"
"Support (IC)","IC3","Europe",99261,"2024-03-26",45,56700,81000,97200,"EUR"
"Support (IC)","IC3","North America",133488,"2024-03-26",42,76300,109000,130800,"USD"
"Support (IC)","IC4","North America",130853,"2024-04-01",49,94500,135000,162000,"USD"
"Support (M)","M4","North America",225550,"2024-01-17",3,137200,196000,235200,"USD"
"Accounting (M)","M4","North America",244596,"2024-01-17",8,112350,160500,192600,"USD"
"Security Engineering (IC)","IC6","North America",400000,"2024-04-02",76,243600,348000,417600,"USD"
,"IC5","North America",210000,"2024-05-01",,,,,"USD"
"AE Mid-market","IC3","North America",130000,"2024-03-12",50,69400,86750,104100,"USD"
"Customer Success Manager Scale (IC)","IC4","North America",140000,"2024-01-03",4,104000,130000,156000,"USD"
"Revenue Ops (M)","M5","Europe",185000,"2024-07-09",121,,,,"EUR"
"Solutions Engineering (IC)","IC4","North America",210375,"2024-01-17",15,0,195000,0,"USD"
"Business Development Representative","IC2","Europe",82782,"2024-01-30",36,51541,64426,77311,"EUR"
,,"North America",400000,"2024-04-12",123,,,,"USD"
"Business Development Representative","IC2","Europe",65543.52,"2024-01-17",38,51541,64426,77311,"EUR"
"Systems & Enablement (IC)","IC4","North America",180353,"2024-02-13",74,120800,151000,181200,"USD"
"IT (IC)","IC4","Europe",70000,"2024-01-30",36,71400,102000,122400,"EUR"
"Customer Success Manager (IC)","IC4","North America",180000,"2023-11-28",2,144000,180000,216000,"USD"
"Business Development Representative","IC1","North America",56000,"2023-11-14",1,39776,49720,59664,"USD"
"Security Engineering (M)","M5","North America",300000,"2024-02-21",75,243250,347500,417000,"USD"
"Accounting (M)","M5","North America",271805,"2024-01-09",50,138600,198000,237600,"USD"
"Sales (M)","M6","Europe",194400,"2024-01-30",50,130120,162651,195181,"EUR"
"Finance (IC)","IC3","North America",146500,"2023-12-19",36,102900,147000,176400,"USD"
"Software Engineer (IC)","IC5","North America",139000,"2024-01-09",24,196000,245000,294000,"USD"
"Software Engineer (IC)","IC4","North America",97000,"2024-04-02",128,168000,210000,252000,"USD"
"AE Enterprise","IC4","Europe",120000,"2024-01-03",57,86000,107500,129000,"EUR"
"Product Manager (IC)","IC6","North America",275000,"2024-04-23",98,199200,249000,298800,"USD"
"AE Mid-market","IC3","Europe",108000,"2024-01-03",40,72000,90000,108000,"EUR"
"Product Marketing (M)","M8","North America",350000,"2024-01-17",67,256800,321000,385200,"USD"
"Visual Design (IC)","IC4","North America",165000,"2023-12-05",30,134400,168000,201600,"USD"
"Business Development Representative","IC2","North America",70200,"2023-10-17",6,51541,64426,77311,"USD"
"Business Development Representative","IC2","North America",94420,"2023-10-17",7,51541,64426,77311,"USD"
"Channel Sales (IC)","IC4","Australia",256608,"2023-12-12",52,,,,"AUD"
"Customer Success Management (M)","M5","Australia",344835.15,"2024-01-09",57,226160,282700,339240,"AUD"
"Sales (M)","M4","North America",160000,"2023-10-31",30,116627,145783,174940,"USD"
"Deal Desk (IC)","IC4","North America",130000,"2023-10-24",21,117600,147000,176400,"USD"
"Software Engineer (IC)","IC4","North America",224000,"2024-02-27",134,168000,210000,252000,"USD"
"Data Engineering (IC)","IC4","North America",222525,"2023-12-05",42,143200,179000,214800,"USD"
"Manager, Sales","M8","North America",212500,"2024-02-27",145,,,,"USD"
"Sales Enablement (IC)","IC3","North America",148400,"2023-11-14",47,97300,139000,166800,"USD"
"Software Engineer (IC)","IC5","Europe",168099.91,"2024-02-27",70,108800,136000,163200,"EUR"
"Customer Success Management (M)","M5","Japan",19000000,"2024-02-06",82,12007360,15009200,18011040,"JPY"
"Customer Success Manager (IC)","IC6","North America",161400,"2023-10-03",1,188000,235000,282000,"USD"
"Customer Success Manager (IC)","IC5","North America",206000,"2023-11-28",32,160000,200000,240000,"USD"
"Customer Success Manager (IC)","IC5","North America",170000,"2023-12-19",55,160000,200000,240000,"USD"
"Support (IC)","IC5","North America",214200,"2023-09-12",9,103600,148000,177600,"USD"
"Customer Success Manager Scale (IC)","IC4","North America",183000,"2023-10-03",1,104000,130000,156000,"USD"
"Data Analyst (IC)","IC4","North America",175100,"2023-11-14",1,147200,184000,220800,"USD"
"Customer Success Manager (IC)","IC5","Europe",128000,"2023-11-07",50,113600,142000,170400,"EUR"
"Customer Success Manager (IC)","IC5","North America",164800,"2023-10-10",34,160000,200000,240000,"USD"
"Executive Admin (IC)","IC3","North America",140000,"2024-01-22",91,104300,149000,178800,"USD"
"Software Engineer (IC)","IC3","North America",194500,"2023-11-28",105,144000,180000,216000,"USD"
"AE Velocity","IC3","Japan",8250000,"2024-01-03",84,5732000,7165000,8598000,"JPY"
"AE Enterprise","IC4","Europe",120000,"2023-09-06",10,86000,107500,129000,"EUR"
"AE Enterprise","IC4","North America",150000,"2023-10-31",40,96000,120000,144000,"USD"
"AE Enterprise","IC4","North America",150000,"2023-10-31",39,96000,120000,144000,"USD"
"Business Development Representative","IC2","Europe",7900000,"2023-11-14",74,51541,64426,77311,"EUR"
"AE Velocity","IC2","North America",76500,"2023-09-20",11,44800,56000,67200,"USD"
"AE Velocity","IC2","North America",65000,"2023-09-20",9,44800,56000,67200,"USD"
"AE Strategic","IC4","North America",165000,"2023-10-31",43,112400,140500,168600,"USD"
"AE Velocity","IC3","North America",65000,"2023-11-01",47,61200,76500,91800,"USD"
"Sales (M)","M4","Europe",148500,"2024-01-01",,83373,104217,125060,"EUR"
"Solutions Engineering (IC)","IC4","Europe",1505250,"2024-09-04",216,0,129750,0,"EUR"
"Solutions Engineering (IC)","IC4","North America",202500,"2023-12-12",45,0,195000,0,"USD"
"Business Development Representative","IC2","North America",59500,"2023-10-31",55,51541,64426,77311,"USD"
"Business Development Representative","IC2","North America",96000,"2023-10-03",23,51541,64426,77311,"USD"
"Accounting (IC)","IC1","North America",87975,"2023-09-20",11,61600,88000,105600,"USD"
"Software Engineer (IC)","IC4","North America",303824.25,"2023-08-15",,168000,210000,252000,"USD"
"Software Engineer (IC)","IC4","North America",202800,"2024-05-21",218,165900,237000,284400,"USD"
"Product Design (M)","M4","North America",236900,"2024-03-19",80,189600,237000,284400,"USD"
"Product Manager (IC)","IC4","North America",140152,"2023-08-28",,160800,201000,241200,"USD"
"Product Manager (IC)","IC4","North America",225000,"2023-12-12",94,160800,201000,241200,"USD"
"Software Engineer (IC)","IC3","Europe",137281,"2024-01-30",52,75200,94000,112800,"EUR"
"Software Engineer (IC)","IC4","Europe",110726.13,"2024-02-06",60,94400,118000,141600,"EUR"
,"IC5","Europe",215000,"2024-01-17",137,,,,"EUR"
"Data Engineering (IC)","IC1","North America",115729,"2023-08-22",5,92000,115000,138000,"USD"
"Systems & Enablement (IC)","IC1","Europe",136500,"2023-08-22",0,38400,48000,57600,"EUR"
"Data Analyst (IC)","IC1","North America",93500,"2023-08-22",2,74400,93000,111600,"USD"
"Solutions Engineering (M)","M6","North America",238000,"2023-09-20",33,0,240000,0,"USD"
"Software Engineer (IC)","IC4","Europe",126657,"2023-10-10",43,94400,118000,141600,"EUR"
"Product Manager (IC)","IC6","North America",322954.44,"2023-09-20",23,199200,249000,298800,"USD"
"Solutions Engineering (IC)","IC1","North America",210375,"2023-08-22",9,0,101250,0,"USD"
"Engineering (M)","M4","North America",255000,"2024-01-03",54,190400,238000,285600,"USD"
"Product Design (M)","M5","North America",245000,"2023-10-17",57,175200,219000,262800,"USD"
"Software Engineer (IC)","IC4","North America",191000,"2023-08-01",,189600,237000,284400,"USD"
"Software Engineer (IC)","IC4","Europe",120846,"2024-01-17",81,94400,118000,141600,"EUR"
"Product Marketing (IC)","IC4","North America",215730,"2023-10-10",65,136000,170000,204000,"USD"
"Software Engineer (IC)","IC4","North America",201058,"2023-10-03",44,168000,210000,252000,"USD"
,"IC4",,110923,"2023-12-12",34,,,,
"Accounting (IC)","IC4","North America",169419.5,"2023-07-18",4,105000,150000,180000,"USD"
"Software Engineer (IC)","IC4","North America",280000,"2024-01-17",81,168000,210000,252000,"USD"
"Revenue Ops (IC)","IC4","Europe",452067,"2023-10-03",18,,,,"EUR"
,,"North America",161250,"2023-09-06",7,,,,"USD"
"Software Engineer (IC)","IC4","North America",131571,"2023-10-17",59,168000,210000,252000,"USD"
,,"Europe",70200,"2023-09-20",45,,,,"EUR"
"AE Enterprise","IC5","North America",140000,"2023-09-06",46,112400,140500,168600,"USD"
"AE Enterprise","IC4","Europe",105000,"2023-10-03",38,86000,107500,129000,"EUR"
"AE Strategic","IC5","North America",145000,"2023-11-14",137,122400,153000,183600,"USD"
"AE Velocity","IC2","North America",80000,"2023-09-06",23,44800,56000,67200,"USD"
"Software Engineer (IC)","IC4","Europe",110750,"2023-09-05",0,94400,118000,141600,"EUR"
"Product Design (IC)","IC4","North America",225000,"2023-12-05",49,173600,217000,260400,"USD"
"Systems & Enablement (IC)","IC6","North America",204000,"2023-08-29",54,151200,189000,226800,"USD"
"Finance (IC)","IC4","North America",145000,"2023-08-01",37,124250,177500,213000,"USD"
"Manager, Sales","M8","North America",255000,"2023-07-11",50,,,,"USD"
"Growth & Renewals Account Manager","IC3","North America",109725,"2023-06-06",22,,,,"USD"
"Account Executive","IC3","North America",88100,"2023-05-01",,,,,"USD"
"AE Velocity","IC3","North America",108500,"2023-05-01",,61200,76500,91800,"USD"
,"IC4","North America",200000,"2023-05-16",21,,,,"USD"
"Business Development Representative","IC1","North America",73500,"2023-05-31",8,39776,49720,59664,"USD"
"Business Development Representative","IC1","Europe",72450,"2023-06-21",0,45938,57423,68908,"EUR"
"Software Engineer (IC)","IC4","North America",211150,"2023-10-24",178,168000,210000,252000,"USD"
"AE Enterprise","IC4","North America",150000,"2023-04-18",4,96000,120000,144000,"USD"
"Data Engineer, BizOps","IC3","North America",169950,"2023-06-06",54,,,,"USD"
,"IC5","North America",290000,"2023-06-13",35,,,,"USD"
,,"North America",257000,"2023-04-04",0,,,,"USD"
"AE Enterprise","IC3","Europe",1400000,"2023-07-25",59,65200,81500,97800,"EUR"
,"M8","North America",367200,"2023-10-24",92,,,,"USD"
"Engineering (M)","M7","North America",357000,"2023-05-31",42,268800,336000,403200,"USD"
"Product Marketing, Director","M6","North America",250000,"2023-05-23",14,,,,"USD"
"Business Development Representative","IC1","North America",93000,"2023-05-31",36,39776,49720,59664,"USD"
"Business Development Representative","IC1","North America",130853,"2023-05-03",0,39776,49720,59664,"USD"
"AE Enterprise","IC4","North America",137500,"2023-03-21",8,96000,120000,144000,"USD"
,"M5","North America",204000,"2023-03-21",3,,,,"USD"
"Business Development Representative","IC1","North America",64400,"2023-05-09",4,39776,49720,59664,"USD"
"Engineering (M)","M4","North America",303400,"2023-06-27",31,190400,238000,285600,"USD"
,,"North America",260000,"2023-06-21",2,,,,"USD"
,,"Europe",122463.13,"2023-08-01",,,,,"EUR"
,,"North America",201096,"2023-11-01",91,,,,"USD"
,,"North America",150000,"2023-03-28",28,,,,"USD"
"Growth Marketing, Manager","M5","North America",195000,"2023-05-23",54,,,,"USD"
"Growth Marketer","IC5","North America",233200,"2023-07-11",83,,,,"USD"
"Product Marketer","IC5","North America",185000,"2023-06-06",53,,,,"USD"
"Data Analyst (IC)","IC4","North America",216300,"2023-05-31",77,128800,184000,220800,"USD"
,,"North America",454750,"2023-04-04",36,,,,"USD"
"Staffing Support","IC3","North America",116320,"2023-03-07",18,,,,"USD"
"Software Engineer","IC5","Europe",967207,"2023-03-14",0,,,,"EUR"
"Product Manager (IC)","IC4","Europe",100000,"2023-08-01",117,88200,126000,151200,"EUR"
,"IC4","North America",133250,"2023-05-09",72,,,,"USD"
"Growth Marketing, Director","M7","North America",310488,"2023-02-28",0,,,,"USD"
"Growth Marketer","IC4","North America",171000,"2023-04-04",29,,,,"USD"
"Growth Marketer","IC5","North America",180000,"2023-05-03",29,,,,"USD"
"Software Engineer (IC)","IC3","North America",192800,"2023-04-04",48,144000,180000,216000,"USD"
"Software Engineer (IC)","IC3","Europe",80000,"2024-01-03",247,75200,94000,112800,"EUR"
"Product Design (IC)","IC3","North America",216694,"2023-06-27",108,150800,188500,226200,"USD"
"Software Engineer (IC)","IC4","Europe",122400,"2023-10-10",138,94400,118000,141600,"EUR"
"Software Engineer (IC)","IC4","Europe",488000,"2023-10-03",72,94400,118000,141600,"EUR"
"Software Engineer (IC)","IC3","North America",234300,"2024-04-23",128,144000,180000,216000,"USD"
"Software Engineer (IC)","IC3","North America",250000,"2024-03-12",143,144000,180000,216000,"USD"
"Software Engineer (IC)","IC4","Europe",125608.42,"2023-10-03",151,94400,118000,141600,"EUR"
"Software Engineer (IC)","IC3","Europe",90000,"2023-12-19",221,75200,94000,112800,"EUR"
"Software Engineer (IC)","IC4","Europe",126396,"2023-07-11",57,94400,118000,141600,"EUR"
"Security Engineer","IC3","Europe",264323,"2023-08-15",109,,,,"EUR"
"Engineering (M)","M5","Europe",144200,"2023-06-06",41,123200,154000,184800,"EUR"
"Software Engineer (IC)","IC3","Europe",108734,"2023-12-05",161,75200,94000,112800,"EUR"
"Software Engineer (IC)","IC4","Europe",123189.81,"2023-11-07",226,94400,118000,141600,"EUR"
"Software Engineer (IC)","IC4","Europe",130000,"2024-01-03",151,94400,118000,141600,"EUR"
"Software Engineer (IC)","IC4","Europe",206000,"2023-05-09",36,94400,118000,141600,"EUR"
"Event Marketer, Director","M6","North America",286340,"2023-03-28",18,,,,"USD"
"Developer Relations (IC)","IC4","North America",200850,"2023-09-06",79,168000,210000,252000,"USD"
,"M6","Europe",180730,"2023-05-31",24,,,,"EUR"
"Marketing (IC)","IC5","North America",223819,"2023-09-06",39,151200,189000,226800,"USD"
,"IC6","North America",185000,"2023-07-11",35,,,,"USD"
"Sustaining Engineer","IC4","North America",212160,"2023-06-21",62,,,,"USD"
"Support (IC)","IC4","North America",172845,"2024-01-17",29,94500,135000,162000,"USD"
"Software Engineer (IC)","IC4","North America",248553.5,"2023-06-13",13,168000,210000,252000,"USD"
"Support (M)","M4","North America",200550,"2023-06-13",8,137200,196000,235200,"USD"
"Sustaining Engineer (IC)","IC3","North America",156750,"2024-01-30",35,109200,156000,187200,"USD"
,,"North America",183600,"2023-10-17",37,,,,"USD"
"Customer Success Operations (IC)","IC3","North America",164800,"2023-07-11",22,104800,131000,157200,"USD"
,,"North America",274544,"2023-02-14",0,,,,"USD"
"Solutions Architect (IC)","IC6","North America",231000,"2023-12-05",49,171500,245000,294000,"USD"
"Solutions Architect (IC)","IC4","North America",220500,"2024-06-25",169,131600,188000,225600,"USD"
"Customer Success Manager","IC4","North America",145000,"2023-04-04",19,,,,"USD"
"Solutions Architect (IC)","IC6","Europe",152921,"2023-12-19",48,119000,170000,204000,"EUR"
"Customer Success Manager","IC4","North America",125000,"2023-04-25",40,,,,"USD"
"Customer Success Management (M)","M4","North America",158000,"2023-09-20",3,132000,165000,198000,"USD"
,,"North America",128000,"2023-06-06",4,,,,"USD"
,,"North America",97850,"2023-08-01",2,,,,"USD"
,,"North America",93000,"2023-04-01",113,,,,"USD"
,,"Australia",12700000,"2023-10-03",93,,,,"AUD"
,,"North America",137550,"2023-03-28",0,,,,"USD"
"Growth & Renewals Account Manager","IC3","North America",126600,"2026-05-19",32,,,,"USD"
"Growth & Renewals (IC)","IC4","Australia",166860,"2023-09-20",5,147470,184337,221205,"AUD"
"Business Development Representative","IC1","North America",100000,"2023-04-12",0,39776,49720,59664,"USD"
"AE Velocity","IC2","Europe",55000,"2023-05-01",,42800,53500,64200,"EUR"
"AE Enterprise","IC4","Europe",90000,"2023-06-27",83,86000,107500,129000,"EUR"
,,"North America",150000,"2023-05-03",40,,,,"USD"
"AE Enterprise","IC3","North America",150000,"2023-05-31",49,77600,97000,116400,"USD"
"AE Enterprise","IC3","North America",130000,"2023-05-03",11,77600,97000,116400,"USD"
"AE Strategic","IC5","North America",165000,"2023-04-12",11,122400,153000,183600,"USD"
"AE Strategic","IC4","North America",180250,"2023-03-28",34,112400,140500,168600,"USD"
"AE Mid-market","IC3","North America",108500,"2023-05-01",34,69400,86750,104100,"USD"
"AE Mid-market","IC3","North America",172250,"2023-03-28",26,69400,86750,104100,"USD"
"AE Mid-market","IC3","Europe",80000,"2023-05-09",71,72000,90000,108000,"EUR"
"AE Mid-market","IC3","North America",106800,"2023-05-01",37,69400,86750,104100,"USD"
